"Date","Time","NOx"
"16-09"," 20-21",22.33
"16-09"," 19-20",28.98
"16-09"," 18-19",54.48
"16-09"," 17-18",55.69
"16-09"," 16-17",77.35
"16-09"," 15-16",82.38
"16-09"," 14-15",82.17
"16-09"," 13-14",92.49
"16-09"," 12-13",100.68
"16-09"," 11-12",107.1
"16-09"," 10-11",101.67
"16-09","  9-10",121.07
"16-09","  8- 9",130.56
"16-09","  7- 8",170.19
"16-09","  6- 7",155.89
